Country,AverageTemperature
Afghanistan,14.05279633
Africa,24.07420275
Aland,5.444263238
Albania,12.72083809
Algeria,23.09924898
American Samoa,26.61196501
Andorra,11.30046436
Angola,21.82454919
Anguilla,26.62868635
Antigua And Barbuda,26.45641752
Argentina,14.62119421
Armenia,8.714041752
Aruba,27.93862067
Asia,7.440629837
Australia,21.62469689
Austria,6.308703666
Azerbaijan,11.33862424
Bahamas,25.18076336
Bahrain,25.95423574
Baker Island,25.38014323
Bangladesh,24.94226998
Barbados,26.47716599
Belarus,5.957342668
Belgium,9.605635947
Belize,25.1118626
Benin,27.17603547
Bhutan,11.90617831
Bolivia,20.87723053
"Bonaire, Saint Eustatius And Saba",27.19183147
Bosnia And Herzegovina,10.51368279
Botswana,21.87929669
Brazil,24.76149109
British Virgin Islands,26.35396997
Bulgaria,10.60337882
Burkina Faso,28.08706696
Burma,23.78759447
Burundi,20.07099013
Cambodia,26.6869319
Cameroon,24.35258559
Canada,-5.036582188
Cape Verde,24.18911667
Cayman Islands,26.77666361
Central African Republic,25.28040692
Chad,27.12046628
Chile,9.383473684
China,6.675656823
Christmas Island,25.79264849
Colombia,24.73051884
Comoros,25.71448128
Congo,24.46293199
Congo (Democratic Republic Of The),23.77366494
Costa Rica,25.61578443
Cote D'Ivoire,25.9521533
Croatia,11.43201375
Cuba,25.45765954
Curaçao,27.37162576
Cyprus,18.91282587
Czech Republic,7.736386456
Denmark,-17.98126527
Denmark (Europe),7.972721487
Djibouti,28.81660253
Dominica,26.12904481
Dominican Republic,25.59996081
Ecuador,21.86997035
Egypt,22.74535387
El Salvador,24.95268906
Equatorial Guinea,24.92167781
Eritrea,26.80265311
Estonia,4.990184827
Ethiopia,23.01235676
Europe,7.958247454
Falkland Islands (Islas Malvinas),6.076773493
Faroe Islands,6.763843177
Federated States Of Micronesia,26.94435777
Fiji,25.03867178
Finland,1.418817719
France,12.88611864
France (Europe),10.52051273
French Guiana,25.73501176
French Polynesia,26.10709612
French Southern And Antarctic Lands,4.983111111
Gabon,24.25472565
Gambia,27.54206129
Gaza Strip,19.34404532
Georgia,8.269629328
Germany,8.274791752
Ghana,26.71501308
